Disease,Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV-Score
heart,Random Forest,1.0,1.0,1.0,1.0,1.0,0.9987
heart,XGBoost,1.0,1.0,1.0,1.0,1.0,0.9964
heart,SVM,0.9951,1.0,0.9905,0.9952,0.9997,0.9935
heart,Stacking Ensemble,0.9659,0.9623,0.9714,0.9668,0.996,-
heart,Logistic Regression,0.8341,0.7886,0.9238,0.8509,0.9383,0.9245
diabetes,Stacking Ensemble,0.7532,0.629,0.7222,0.6724,0.8356,-
diabetes,Random Forest,0.7468,0.6271,0.6852,0.6549,0.8335,0.896
diabetes,Logistic Regression,0.7078,0.5652,0.7222,0.6341,0.8176,0.8465
diabetes,XGBoost,0.7338,0.6102,0.6667,0.6372,0.8141,0.8978
diabetes,SVM,0.7273,0.5968,0.6852,0.6379,0.7993,0.8692
breast_cancer,Stacking Ensemble,0.9912,1.0,0.9762,0.988,0.9974,-
breast_cancer,Random Forest,0.9737,1.0,0.9286,0.963,0.9967,0.9949
breast_cancer,XGBoost,0.9737,1.0,0.9286,0.963,0.9947,0.9974
breast_cancer,Logistic Regression,0.9825,0.9762,0.9762,0.9762,0.9944,0.9978
breast_cancer,SVM,0.9737,1.0,0.9286,0.963,0.994,0.9987
